date,state,district,pincode,demo_age_5_17,demo_age_17_
12-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,11
12-09-2025,Andhra Pradesh,Visakhapatnam,531027,1,6
12-09-2025,Andhra Pradesh,Visakhapatnam,531034,1,6
12-09-2025,Andhra Pradesh,Visakhapatnam,531036,2,15
12-09-2025,Andhra Pradesh,Visakhapatnam,531055,1,21
12-09-2025,Andhra Pradesh,Visakhapatnam,531077,1,9
12-09-2025,Andhra Pradesh,Visakhapatnam,531081,0,8
12-09-2025,Andhra Pradesh,Visakhapatnam,531117,0,1
12-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,7
12-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530004,2,9
11-09-2025,Andhra Pradesh,Visakhapatnam,530011,3,15
11-09-2025,Andhra Pradesh,Visakhapatnam,530013,2,14
11-09-2025,Andhra Pradesh,Visakhapatnam,530017,4,22
11-09-2025,Andhra Pradesh,Visakhapatnam,530031,1,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530032,1,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530046,2,20
11-09-2025,Andhra Pradesh,Visakhapatnam,530053,1,2
11-09-2025,Andhra Pradesh,Visakhapatnam,531021,1,8
11-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,8
11-09-2025,Andhra Pradesh,Visakhapatnam,531026,0,11
11-09-2025,Andhra Pradesh,Visakhapatnam,531029,3,19
11-09-2025,Andhra Pradesh,Visakhapatnam,531033,0,3
11-09-2025,Andhra Pradesh,Visakhapatnam,531077,0,11
11-09-2025,Andhra Pradesh,Visakhapatnam,531083,1,5
11-09-2025,Andhra Pradesh,Visakhapatnam,531111,6,8
11-09-2025,Andhra Pradesh,Visakhapatnam,531113,0,11
11-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,5
11-09-2025,Andhra Pradesh,Visakhapatnam,531133,5,8
11-09-2025,Andhra Pradesh,Visakhapatnam,535145,0,1
11-09-2025,Andhra Pradesh,Visakhapatnam,535273,0,2
13-09-2025,Andhra Pradesh,Visakhapatnam,530002,2,7
13-09-2025,Andhra Pradesh,Visakhapatnam,530007,1,4
13-09-2025,Andhra Pradesh,Visakhapatnam,530009,0,5
13-09-2025,Andhra Pradesh,Visakhapatnam,530024,0,1
13-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
13-09-2025,Andhra Pradesh,Visakhapatnam,530046,6,11
13-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
13-09-2025,Andhra Pradesh,Visakhapatnam,531030,0,4
13-09-2025,Andhra Pradesh,Visakhapatnam,531075,0,2
13-09-2025,Andhra Pradesh,Visakhapatnam,531115,0,5
13-09-2025,Andhra Pradesh,Visakhapatnam,531162,1,7
14-09-2025,Andhra Pradesh,Visakhapatnam,530001,1,4
14-09-2025,Andhra Pradesh,Visakhapatnam,530007,0,3
14-09-2025,Andhra Pradesh,Visakhapatnam,530009,1,1
14-09-2025,Andhra Pradesh,Visakhapatnam,530027,1,3
14-09-2025,Andhra Pradesh,Visakhapatnam,530032,2,0
14-09-2025,Andhra Pradesh,Visakhapatnam,530041,3,3
14-09-2025,Andhra Pradesh,Visakhapatnam,530044,1,5
14-09-2025,Andhra Pradesh,Visakhapatnam,531002,1,1
14-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,4
15-09-2025,Andhra Pradesh,Visakhapatnam,530008,3,27
15-09-2025,Andhra Pradesh,Visakhapatnam,530022,0,4
15-09-2025,Andhra Pradesh,Visakhapatnam,530024,1,6
15-09-2025,Andhra Pradesh,Visakhapatnam,530040,0,28
15-09-2025,Andhra Pradesh,Visakhapatnam,531023,0,5
15-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,5
15-09-2025,Andhra Pradesh,Visakhapatnam,531060,0,5
15-09-2025,Andhra Pradesh,Visakhapatnam,531061,0,10
15-09-2025,Andhra Pradesh,Visakhapatnam,531114,4,14
15-09-2025,Andhra Pradesh,Visakhapatnam,531133,5,18
15-09-2025,Andhra Pradesh,Visakhapatnam,531149,0,12
16-09-2025,Andhra Pradesh,Visakhapatnam,530004,1,11
16-09-2025,Andhra Pradesh,Visakhapatnam,530007,2,9
16-09-2025,Andhra Pradesh,Visakhapatnam,530027,1,21
16-09-2025,Andhra Pradesh,Visakhapatnam,530028,1,1
16-09-2025,Andhra Pradesh,Visakhapatnam,530040,1,27
16-09-2025,Andhra Pradesh,Visakhapatnam,531023,0,1
16-09-2025,Andhra Pradesh,Visakhapatnam,531026,0,8
16-09-2025,Andhra Pradesh,Visakhapatnam,531029,3,21
16-09-2025,Andhra Pradesh,Visakhapatnam,531087,1,2
16-09-2025,Andhra Pradesh,Visakhapatnam,531115,0,6
16-09-2025,Andhra Pradesh,Visakhapatnam,531117,1,7
16-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,5
16-09-2025,Andhra Pradesh,Visakhapatnam,531162,0,18
16-09-2025,Andhra Pradesh,Visakhapatnam,531173,5,14
16-09-2025,Andhra Pradesh,Visakhapatnam,531219,1,8
16-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,2
17-09-2025,Andhra Pradesh,Visakhapatnam,530004,0,8
17-09-2025,Andhra Pradesh,Visakhapatnam,530011,3,14
17-09-2025,Andhra Pradesh,Visakhapatnam,530017,6,31
17-09-2025,Andhra Pradesh,Visakhapatnam,530018,0,10
17-09-2025,Andhra Pradesh,Visakhapatnam,530026,3,42
17-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
17-09-2025,Andhra Pradesh,Visakhapatnam,531019,2,7
17-09-2025,Andhra Pradesh,Visakhapatnam,531026,1,4
17-09-2025,Andhra Pradesh,Visakhapatnam,531029,5,15
17-09-2025,Andhra Pradesh,Visakhapatnam,531031,0,4
17-09-2025,Andhra Pradesh,Visakhapatnam,531032,0,4
17-09-2025,Andhra Pradesh,Visakhapatnam,531034,1,9
17-09-2025,Andhra Pradesh,Visakhapatnam,531035,2,13
17-09-2025,Andhra Pradesh,Visakhapatnam,531075,0,10
17-09-2025,Andhra Pradesh,Visakhapatnam,531082,0,3
17-09-2025,Andhra Pradesh,Visakhapatnam,531085,1,1
17-09-2025,Andhra Pradesh,Visakhapatnam,531133,4,6
17-09-2025,Andhra Pradesh,Visakhapatnam,531149,6,11
17-09-2025,Andhra Pradesh,Visakhapatnam,531162,3,21
17-09-2025,Andhra Pradesh,Visakhapatnam,531173,2,23
17-09-2025,Andhra Pradesh,Visakhapatnam,535145,1,13
17-09-2025,Andhra Pradesh,Visakhapatnam,535183,0,1
18-09-2025,Andhra Pradesh,Visakhapatnam,530003,0,6
18-09-2025,Andhra Pradesh,Visakhapatnam,530005,0,3
18-09-2025,Andhra Pradesh,Visakhapatnam,530009,0,2
18-09-2025,Andhra Pradesh,Visakhapatnam,530011,2,14
18-09-2025,Andhra Pradesh,Visakhapatnam,530027,2,16
18-09-2025,Andhra Pradesh,Visakhapatnam,530029,0,5
18-09-2025,Andhra Pradesh,Visakhapatnam,530031,0,2
18-09-2025,Andhra Pradesh,Visakhapatnam,530044,2,23
18-09-2025,Andhra Pradesh,Visakhapatnam,530048,3,22
18-09-2025,Andhra Pradesh,Visakhapatnam,531019,0,1
18-09-2025,Andhra Pradesh,Visakhapatnam,531021,1,3
18-09-2025,Andhra Pradesh,Visakhapatnam,531023,0,8
18-09-2025,Andhra Pradesh,Visakhapatnam,531025,0,5
18-09-2025,Andhra Pradesh,Visakhapatnam,531027,0,6
18-09-2025,Andhra Pradesh,Visakhapatnam,531028,0,3
18-09-2025,Andhra Pradesh,Visakhapatnam,531030,1,3
18-09-2025,Andhra Pradesh,Visakhapatnam,531035,1,9
18-09-2025,Andhra Pradesh,Visakhapatnam,531075,0,8
18-09-2025,Andhra Pradesh,Visakhapatnam,531105,0,6
19-09-2025,Andhra Pradesh,Visakhapatnam,530008,0,23
19-09-2025,Andhra Pradesh,Visakhapatnam,530013,1,22
19-09-2025,Andhra Pradesh,Visakhapatnam,530027,0,24
19-09-2025,Andhra Pradesh,Visakhapatnam,530028,0,3
19-09-2025,Andhra Pradesh,Visakhapatnam,530040,0,23
19-09-2025,Andhra Pradesh,Visakhapatnam,530044,2,16
19-09-2025,Andhra Pradesh,Visakhapatnam,530047,0,10
19-09-2025,Andhra Pradesh,Visakhapatnam,530051,1,12
19-09-2025,Andhra Pradesh,Visakhapatnam,531011,0,3
19-09-2025,Andhra Pradesh,Visakhapatnam,531032,0,7
19-09-2025,Andhra Pradesh,Visakhapatnam,531034,1,6
19-09-2025,Andhra Pradesh,Visakhapatnam,531077,2,18
19-09-2025,Andhra Pradesh,Visakhapatnam,531081,0,11
19-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,11
19-09-2025,Andhra Pradesh,Visakhapatnam,531117,2,5
19-09-2025,Andhra Pradesh,Visakhapatnam,535183,0,5
19-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
20-09-2025,Andhra Pradesh,Visakhapatnam,530001,3,24
20-09-2025,Andhra Pradesh,Visakhapatnam,530008,3,16
20-09-2025,Andhra Pradesh,Visakhapatnam,530017,3,21
20-09-2025,Andhra Pradesh,Visakhapatnam,530020,0,5
20-09-2025,Andhra Pradesh,Visakhapatnam,530022,0,6
20-09-2025,Andhra Pradesh,Visakhapatnam,530031,3,3
20-09-2025,Andhra Pradesh,Visakhapatnam,530044,4,16
20-09-2025,Andhra Pradesh,Visakhapatnam,530045,2,17
20-09-2025,Andhra Pradesh,Visakhapatnam,530052,0,5
20-09-2025,Andhra Pradesh,Visakhapatnam,530053,0,2
20-09-2025,Andhra Pradesh,Visakhapatnam,531011,0,6
20-09-2025,Andhra Pradesh,Visakhapatnam,531020,0,3
20-09-2025,Andhra Pradesh,Visakhapatnam,531024,1,4
20-09-2025,Andhra Pradesh,Visakhapatnam,531028,0,6
20-09-2025,Andhra Pradesh,Visakhapatnam,531032,0,6
20-09-2025,Andhra Pradesh,Visakhapatnam,531034,2,6
20-09-2025,Andhra Pradesh,Visakhapatnam,531036,1,13
20-09-2025,Andhra Pradesh,Visakhapatnam,531085,0,2
20-09-2025,Andhra Pradesh,Visakhapatnam,531115,0,12
20-09-2025,Andhra Pradesh,Visakhapatnam,531162,1,20
13-10-2025,Andhra Pradesh,Visakhapatnam,530004,0,3
13-10-2025,Andhra Pradesh,Visakhapatnam,530011,0,11
13-10-2025,Andhra Pradesh,Visakhapatnam,530020,0,1
13-10-2025,Andhra Pradesh,Visakhapatnam,530026,1,11
13-10-2025,Andhra Pradesh,Visakhapatnam,530040,0,10
13-10-2025,Andhra Pradesh,Visakhapatnam,530044,0,3
13-10-2025,Andhra Pradesh,Visakhapatnam,531027,0,3
13-10-2025,Andhra Pradesh,Visakhapatnam,531031,0,10
13-10-2025,Andhra Pradesh,Visakhapatnam,531060,0,3
13-10-2025,Andhra Pradesh,Visakhapatnam,531061,1,7
13-10-2025,Andhra Pradesh,Visakhapatnam,531077,0,6
13-10-2025,Andhra Pradesh,Visakhapatnam,531149,1,7
13-10-2025,Andhra Pradesh,Visakhapatnam,531151,5,6
13-10-2025,Andhra Pradesh,Visakhapatnam,531162,0,6
15-10-2025,Andhra Pradesh,Visakhapatnam,530005,0,2
15-10-2025,Andhra Pradesh,Visakhapatnam,530008,1,17
15-10-2025,Andhra Pradesh,Visakhapatnam,530012,2,7
15-10-2025,Andhra Pradesh,Visakhapatnam,530013,3,20
15-10-2025,Andhra Pradesh,Visakhapatnam,530016,3,21
15-10-2025,Andhra Pradesh,Visakhapatnam,530017,2,30
15-10-2025,Andhra Pradesh,Visakhapatnam,530018,1,12
15-10-2025,Andhra Pradesh,Visakhapatnam,530022,0,10
15-10-2025,Andhra Pradesh,Visakhapatnam,530024,1,6
15-10-2025,Andhra Pradesh,Visakhapatnam,530044,3,15
15-10-2025,Andhra Pradesh,Visakhapatnam,530046,5,25
15-10-2025,Andhra Pradesh,Visakhapatnam,530047,1,5
15-10-2025,Andhra Pradesh,Visakhapatnam,530052,0,1
15-10-2025,Andhra Pradesh,Visakhapatnam,531061,1,13
15-10-2025,Andhra Pradesh,Visakhapatnam,531081,0,12
15-10-2025,Andhra Pradesh,Visakhapatnam,531083,0,4
15-10-2025,Andhra Pradesh,Visakhapatnam,531085,1,9
15-10-2025,Andhra Pradesh,Visakhapatnam,531105,1,6
