date,state,district,pincode,bio_age_5_17,bio_age_17_
30-11-2025,Andhra Pradesh,Srikakulam,532219,0,1
30-11-2025,Andhra Pradesh,Srikakulam,532220,1,4
30-11-2025,Andhra Pradesh,Srikakulam,532264,0,3
30-11-2025,Andhra Pradesh,Srikakulam,532407,0,4
30-11-2025,Andhra Pradesh,Srikakulam,532461,0,1
23-11-2025,Andhra Pradesh,Srikakulam,532005,0,1
23-11-2025,Andhra Pradesh,Srikakulam,532242,0,1
23-11-2025,Andhra Pradesh,Srikakulam,532264,0,1
23-11-2025,Andhra Pradesh,Srikakulam,532408,0,1
21-12-2025,Andhra Pradesh,Srikakulam,532213,0,3
21-12-2025,Andhra Pradesh,Srikakulam,532405,0,1
21-12-2025,Andhra Pradesh,Srikakulam,532407,0,2
21-12-2025,Andhra Pradesh,Srikakulam,532427,0,1
13-12-2025,Andhra Pradesh,Srikakulam,532212,0,7
13-12-2025,Andhra Pradesh,Srikakulam,532290,0,7
14-12-2025,Andhra Pradesh,Srikakulam,532001,0,6
14-12-2025,Andhra Pradesh,Srikakulam,532215,0,1
14-12-2025,Andhra Pradesh,Srikakulam,532292,0,2
14-12-2025,Andhra Pradesh,Srikakulam,532404,0,1
14-12-2025,Andhra Pradesh,Srikakulam,532406,0,1
14-12-2025,Andhra Pradesh,Srikakulam,532410,0,1
14-12-2025,Andhra Pradesh,Srikakulam,532440,0,3
14-12-2025,Andhra Pradesh,Srikakulam,532461,0,1
14-12-2025,Andhra Pradesh,Srikakulam,532474,0,1
07-12-2025,Andhra Pradesh,Srikakulam,532127,0,2
07-12-2025,Andhra Pradesh,Srikakulam,532222,0,2
07-12-2025,Andhra Pradesh,Srikakulam,532291,0,1
07-12-2025,Andhra Pradesh,Srikakulam,532312,0,5
07-12-2025,Andhra Pradesh,Srikakulam,532322,0,1
07-12-2025,Andhra Pradesh,Srikakulam,532421,2,3
07-12-2025,Andhra Pradesh,Srikakulam,532427,0,2
07-12-2025,Andhra Pradesh,Srikakulam,532440,0,1
07-12-2025,Andhra Pradesh,Srikakulam,532459,0,1
07-12-2025,Andhra Pradesh,Srikakulam,532460,0,2
16-11-2025,Andhra Pradesh,Srikakulam,532401,0,2
16-11-2025,Andhra Pradesh,Srikakulam,532410,0,1
16-11-2025,Andhra Pradesh,Srikakulam,532421,0,1
16-11-2025,Andhra Pradesh,Srikakulam,532429,0,1
02-11-2025,Andhra Pradesh,Srikakulam,532127,0,1
02-11-2025,Andhra Pradesh,Srikakulam,532243,0,2
02-11-2025,Andhra Pradesh,Srikakulam,532284,0,3
01-11-2025,Andhra Pradesh,Srikakulam,532216,2,4
09-11-2025,Andhra Pradesh,Srikakulam,532201,0,3
09-11-2025,Andhra Pradesh,Srikakulam,532402,1,0
09-11-2025,Andhra Pradesh,Srikakulam,532403,1,0
29-10-2025,Andhra Pradesh,Srikakulam,532263,0,2
05-10-2025,Andhra Pradesh,Srikakulam,532242,2,1
05-10-2025,Andhra Pradesh,Srikakulam,532284,0,1
05-10-2025,Andhra Pradesh,Srikakulam,532291,0,1
05-10-2025,Andhra Pradesh,Srikakulam,532404,0,1
05-10-2025,Andhra Pradesh,Srikakulam,532427,1,3
05-10-2025,Andhra Pradesh,Srikakulam,532484,0,1
21-09-2025,Andhra Pradesh,Srikakulam,532455,0,2
21-09-2025,Andhra Pradesh,Srikakulam,532459,0,1
30-09-2025,Andhra Pradesh,Srikakulam,532219,0,3
14-09-2025,Andhra Pradesh,Srikakulam,532213,0,1
14-09-2025,Andhra Pradesh,Srikakulam,532403,0,1
16-09-2025,Andhra Pradesh,Srikakulam,535125,0,3
16-09-2025,Andhra Pradesh,Srikakulam,535128,0,1
20-09-2025,Andhra Pradesh,Srikakulam,532406,0,4
20-09-2025,Andhra Pradesh,Srikakulam,535125,0,2
13-10-2025,Andhra Pradesh,Srikakulam,532406,1,4
11-10-2025,Andhra Pradesh,Srikakulam,532410,0,6
12-10-2025,Andhra Pradesh,Srikakulam,532127,0,3
12-10-2025,Andhra Pradesh,Srikakulam,532284,0,1
12-10-2025,Andhra Pradesh,Srikakulam,532291,0,2
12-10-2025,Andhra Pradesh,Srikakulam,532405,0,1
21-10-2025,Andhra Pradesh,Srikakulam,535128,0,3
19-10-2025,Andhra Pradesh,Srikakulam,532123,0,1
19-10-2025,Andhra Pradesh,Srikakulam,532215,0,3
19-10-2025,Andhra Pradesh,Srikakulam,532284,0,1
19-10-2025,Andhra Pradesh,Srikakulam,532290,1,0
19-10-2025,Andhra Pradesh,Srikakulam,532407,0,2
19-10-2025,Andhra Pradesh,Srikakulam,532484,0,1
20-10-2025,Andhra Pradesh,Srikakulam,532122,1,0
20-10-2025,Andhra Pradesh,Srikakulam,532127,1,1
20-10-2025,Andhra Pradesh,Srikakulam,532242,0,1
20-10-2025,Andhra Pradesh,Srikakulam,532312,1,1
20-10-2025,Andhra Pradesh,Srikakulam,532404,0,1
20-10-2025,Andhra Pradesh,Srikakulam,532456,0,2
26-10-2025,Andhra Pradesh,Srikakulam,532005,1,1
26-10-2025,Andhra Pradesh,Srikakulam,532213,0,1
26-10-2025,Andhra Pradesh,Srikakulam,532216,0,1
26-10-2025,Andhra Pradesh,Srikakulam,532292,1,0
26-10-2025,Andhra Pradesh,Srikakulam,532425,0,4
16-10-2025,Andhra Pradesh,Srikakulam,535557,0,2
15-10-2025,Andhra Pradesh,Srikakulam,532219,0,2
15-10-2025,Andhra Pradesh,Srikakulam,532406,0,7
28-09-2025,Andhra Pradesh,Srikakulam,532219,0,1
28-09-2025,Andhra Pradesh,Srikakulam,532430,0,2
24-08-2025,Andhra Pradesh,Srikakulam,532264,0,1
24-08-2025,Andhra Pradesh,Srikakulam,532292,0,1
25-08-2025,Andhra Pradesh,Srikakulam,535128,0,2
