date,state,district,pincode,bio_age_5_17,bio_age_17_
02-01-2026,Andhra Pradesh,Visakhapatnam,530003,2,2
02-01-2026,Andhra Pradesh,Visakhapatnam,530014,1,1
02-01-2026,Andhra Pradesh,Visakhapatnam,530017,7,12
02-01-2026,Andhra Pradesh,Visakhapatnam,530043,2,1
02-01-2026,Andhra Pradesh,Visakhapatnam,530048,5,5
02-01-2026,Andhra Pradesh,Visakhapatnam,531021,4,8
02-01-2026,Andhra Pradesh,Visakhapatnam,531023,4,2
02-01-2026,Andhra Pradesh,Visakhapatnam,531026,2,1
02-01-2026,Andhra Pradesh,Visakhapatnam,531034,2,5
02-01-2026,Andhra Pradesh,Visakhapatnam,531055,3,15
02-01-2026,Andhra Pradesh,Visakhapatnam,531082,0,1
02-01-2026,Andhra Pradesh,Visakhapatnam,531087,0,1
02-01-2026,Andhra Pradesh,Visakhapatnam,531151,6,17
03-01-2026,Andhra Pradesh,Visakhapatnam,530002,0,1
03-01-2026,Andhra Pradesh,Visakhapatnam,530027,5,1
03-01-2026,Andhra Pradesh,Visakhapatnam,530029,1,0
03-01-2026,Andhra Pradesh,Visakhapatnam,530048,1,2
03-01-2026,Andhra Pradesh,Visakhapatnam,530051,0,1
03-01-2026,Andhra Pradesh,Visakhapatnam,530053,0,1
03-01-2026,Andhra Pradesh,Visakhapatnam,531002,0,1
03-01-2026,Andhra Pradesh,Visakhapatnam,531020,1,0
03-01-2026,Andhra Pradesh,Visakhapatnam,531027,2,4
03-01-2026,Andhra Pradesh,Visakhapatnam,531035,0,3
03-01-2026,Andhra Pradesh,Visakhapatnam,531040,2,1
03-01-2026,Andhra Pradesh,Visakhapatnam,531055,2,4
03-01-2026,Andhra Pradesh,Visakhapatnam,531111,1,4
03-01-2026,Andhra Pradesh,Visakhapatnam,531113,2,3
03-01-2026,Andhra Pradesh,Visakhapatnam,531114,2,1
03-01-2026,Andhra Pradesh,Visakhapatnam,531115,0,1
03-01-2026,Andhra Pradesh,Visakhapatnam,531151,1,6
03-01-2026,Andhra Pradesh,Visakhapatnam,531162,1,3
03-01-2026,Andhra Pradesh,Visakhapatnam,531163,2,7
03-01-2026,Andhra Pradesh,Visakhapatnam,531219,0,2
26-12-2025,Andhra Pradesh,Visakhapatnam,535250,0,2
25-12-2025,Andhra Pradesh,Visakhapatnam,530004,0,3
25-12-2025,Andhra Pradesh,Visakhapatnam,530008,1,1
25-12-2025,Andhra Pradesh,Visakhapatnam,530016,1,4
25-12-2025,Andhra Pradesh,Visakhapatnam,530053,1,2
25-12-2025,Andhra Pradesh,Visakhapatnam,531011,0,2
25-12-2025,Andhra Pradesh,Visakhapatnam,531055,0,1
25-12-2025,Andhra Pradesh,Visakhapatnam,531060,1,1
25-12-2025,Andhra Pradesh,Visakhapatnam,531114,0,4
15-11-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
16-11-2025,Andhra Pradesh,Visakhapatnam,531011,0,1
16-11-2025,Andhra Pradesh,Visakhapatnam,531034,0,1
16-11-2025,Andhra Pradesh,Visakhapatnam,531116,1,2
16-11-2025,Andhra Pradesh,Visakhapatnam,531126,0,2
16-11-2025,Andhra Pradesh,Visakhapatnam,531162,1,5
20-11-2025,Andhra Pradesh,Visakhapatnam,535273,1,2
12-11-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
23-11-2025,Andhra Pradesh,Visakhapatnam,530032,2,0
23-11-2025,Andhra Pradesh,Visakhapatnam,531060,0,1
23-11-2025,Andhra Pradesh,Visakhapatnam,531113,1,0
21-11-2025,Andhra Pradesh,Visakhapatnam,531118,1,0
11-12-2025,Andhra Pradesh,Visakhapatnam,530020,0,2
11-12-2025,Andhra Pradesh,Visakhapatnam,531105,0,1
10-12-2025,Andhra Pradesh,Visakhapatnam,530005,0,4
10-12-2025,Andhra Pradesh,Visakhapatnam,535005,0,3
07-12-2025,Andhra Pradesh,Visakhapatnam,530005,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,530011,0,9
07-12-2025,Andhra Pradesh,Visakhapatnam,530016,1,6
07-12-2025,Andhra Pradesh,Visakhapatnam,530020,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,530022,0,2
07-12-2025,Andhra Pradesh,Visakhapatnam,530027,0,7
07-12-2025,Andhra Pradesh,Visakhapatnam,530028,0,2
07-12-2025,Andhra Pradesh,Visakhapatnam,530051,0,5
07-12-2025,Andhra Pradesh,Visakhapatnam,531002,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531023,0,2
07-12-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531025,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531031,0,2
07-12-2025,Andhra Pradesh,Visakhapatnam,531032,0,3
07-12-2025,Andhra Pradesh,Visakhapatnam,531034,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531036,0,2
07-12-2025,Andhra Pradesh,Visakhapatnam,531040,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531060,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531081,0,2
07-12-2025,Andhra Pradesh,Visakhapatnam,531082,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531111,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531115,1,5
07-12-2025,Andhra Pradesh,Visakhapatnam,531219,1,1
29-11-2025,Andhra Pradesh,Visakhapatnam,530020,0,3
30-11-2025,Andhra Pradesh,Visakhapatnam,530027,0,5
30-11-2025,Andhra Pradesh,Visakhapatnam,530031,0,1
30-11-2025,Andhra Pradesh,Visakhapatnam,530046,0,3
30-11-2025,Andhra Pradesh,Visakhapatnam,531020,0,1
30-11-2025,Andhra Pradesh,Visakhapatnam,531023,0,1
30-11-2025,Andhra Pradesh,Visakhapatnam,531029,0,1
30-11-2025,Andhra Pradesh,Visakhapatnam,531033,0,5
30-11-2025,Andhra Pradesh,Visakhapatnam,531114,0,2
09-11-2025,Andhra Pradesh,Visakhapatnam,530044,2,7
09-11-2025,Andhra Pradesh,Visakhapatnam,530052,1,0
09-11-2025,Andhra Pradesh,Visakhapatnam,531011,0,1
09-11-2025,Andhra Pradesh,Visakhapatnam,531117,1,0
09-11-2025,Andhra Pradesh,Visakhapatnam,531126,0,4
02-11-2025,Andhra Pradesh,Visakhapatnam,531020,1,0
02-11-2025,Andhra Pradesh,Visakhapatnam,531116,0,1
29-10-2025,Andhra Pradesh,Visakhapatnam,531087,0,1
29-10-2025,Andhra Pradesh,Visakhapatnam,531105,0,2
30-10-2025,Andhra Pradesh,Visakhapatnam,530049,0,1
09-10-2025,Andhra Pradesh,Visakhapatnam,530053,1,1
11-10-2025,Andhra Pradesh,Visakhapatnam,531031,1,1
11-10-2025,Andhra Pradesh,Visakhapatnam,531036,1,4
11-10-2025,Andhra Pradesh,Visakhapatnam,535005,1,2
12-10-2025,Andhra Pradesh,Visakhapatnam,530020,0,2
12-10-2025,Andhra Pradesh,Visakhapatnam,531020,2,0
12-10-2025,Andhra Pradesh,Visakhapatnam,531021,0,1
12-10-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
12-10-2025,Andhra Pradesh,Visakhapatnam,535005,0,1
19-10-2025,Andhra Pradesh,Visakhapatnam,530031,1,1
19-10-2025,Andhra Pradesh,Visakhapatnam,530052,0,1
19-10-2025,Andhra Pradesh,Visakhapatnam,531083,0,3
30-09-2025,Andhra Pradesh,Visakhapatnam,531019,0,1
30-09-2025,Andhra Pradesh,Visakhapatnam,535273,0,1
29-09-2025,Andhra Pradesh,Visakhapatnam,530053,0,4
02-10-2025,Andhra Pradesh,Visakhapatnam,530002,0,1
02-10-2025,Andhra Pradesh,Visakhapatnam,530007,0,2
02-10-2025,Andhra Pradesh,Visakhapatnam,530022,0,1
